,ls_bbox_area,ls_other_id,image_INT_id,category_id,X_TOP_LEFT_x1,ls_x2,ls_y1,Y_BOTTOM_RIGHT_y2
0,702.1057499999998,1768,289343,18,473.07,511.71999999999997,395.93,424.6
1,27718.476299999995,1773,61471,18,272.1,424.07000000000005,200.23,480.0
2,78969.31690000003,2551,472375,18,124.71,497.56,196.18,552.99
3,108316.66515000002,3186,520301,18,112.71,480.0,154.82,634.1700000000001
4,75864.53530000002,3419,579321,18,200.61,600.83,89.65,340.67
5,16932.135100000003,3658,494869,18,0.0,154.53,421.09,629.7
6,32002.702999999998,4594,554002,18,427.58,616.46,77.87,363.78000000000003
7,16694.404700000003,7544,78823,18,197.97,368.41999999999996,117.22,339.28999999999996
8,9496.329899999997,7915,419974,18,61.68,192.45000000000002,389.34,527.81
9,2613.772699999999,7981,404484,18,86.93,169.43,90.76,165.3
10,4290.290900000001,8032,329219,18,297.73,357.94,252.34,360.79
11,5478.6852,9024,68078,18,29.0,101.51,492.01,626.74
12,58488.148799999995,9940,170893,18,270.55,638.06,80.55,474.25
13,2991.9213,10176,65485,18,387.99,472.98,97.43,178.72000000000003
14,179462.9809,12182,498286,18,0.97,468.41,9.8,473.38
15,14402.837599999995,12414,424162,18,76.39,235.35000000000002,294.14,478.91999999999996
16,8769.457499999999,12582,61108,18,136.73,251.07,179.48,316.7
17,15711.620349999997,13714,67213,18,402.7,600.62,58.79,260.63
18,4792.913050000001,13886,365207,18,464.19,557.91,273.52,355.76
19,137612.20434999999,14105,131273,18,120.24,480.0,0.32,596.36
20,3278.3082000000004,14189,279278,18,506.13,578.93,157.73,239.2
21,1340.0489500000006,18782,482100,64,245.5,281.8,4.46,51.27
22,316.9655500000001,18979,540502,64,6.59,40.89,93.28,127.94
23,3350.2961000000005,19679,127182,64,314.46,385.09999999999997,261.42,361.55
24,1057.8740999999998,19751,565776,64,120.66,157.01,161.06,216.45
25,886.9596999999984,20026,575970,64,561.01,594.01,183.34,224.68
26,5087.935000000002,20490,462614,64,126.74,235.99,240.09,327.49
27,10378.088950000001,20865,407614,64,365.9,523.49,0.0,126.98
28,27667.51730000001,20979,522007,64,38.74,204.48000000000002,0.0,333.63
29,9473.417249999997,21771,78823,64,58.45,189.98000000000002,81.69,207.59
30,3215.903050000001,21865,226984,64,290.13,381.7,9.4,57.589999999999996
31,88.52115000000006,22328,37777,64,102.49,110.39,118.47,135.78
32,1164.9265000000005,22674,491216,64,269.55,298.97,180.58,243.18
33,4235.0086,22806,136355,64,513.2,603.96,84.47,155.06
34,4366.82765,23289,404484,64,207.4,314.19,69.19,151.57999999999998
35,6862.193649999999,23607,529568,64,0.0,70.13,351.56,502.5
36,10146.3308,24390,306733,64,282.09,466.03,253.6,355.57
37,4964.178200000003,24776,42276,64,146.9,252.54000000000002,16.69,105.21
38,925.6672500000002,24957,482100,64,270.43,322.83,0.0,29.41
39,911.1211500000003,24980,370818,64,0.0,28.13,208.62,276.43
40,2612.4554999999987,26036,226984,64,450.61,514.89,13.2,70.58
41,1490.4620999999995,26288,491216,64,207.18,245.72,171.48,245.62
42,13725.7423,26324,136355,64,328.17,566.13,0.96,187.11
43,1963.6413499999992,26341,136355,64,326.2,381.83,123.56,186.68
44,2933.8099,26700,136355,64,448.77,513.22,175.76,298.76
45,1280.0254,26955,482100,64,158.28,210.07999999999998,0.0,34.76
46,740.0761500000002,27423,491216,64,166.18,187.04000000000002,185.54,243.56
47,553.301949999999,27879,491216,64,235.88,274.53,198.4,244.24
48,31935.485049999996,29131,464476,72,279.11,485.13,209.81,370.25
49,2293.6756000000005,29249,68833,72,97.28,157.56,202.37,242.28
50,265862.40795,29555,433915,72,1.08,575.7800000000001,1.72,473.11
51,61254.977150000006,29829,149222,72,3.88,291.86,0.0,251.13
52,16606.205650000004,30246,17379,72,145.26,310.65,214.29,322.15999999999997
53,924.0371499999999,30416,361586,72,352.62,383.97,201.36,240.12
54,49844.547699999996,31127,127987,72,24.14,347.38,0.0,235.69
55,14354.770549999997,32126,186632,72,2.88,169.71,213.21,306.7
56,5342.833300000001,33192,440475,72,263.24,361.85,172.56,233.31
57,22939.919350000004,33206,368900,72,465.19,632.1,225.78,371.95
58,6369.429449999997,33253,9772,72,426.66,516.54,91.19,186.75
59,1038.6786000000002,33612,404484,72,25.74,44.209999999999994,45.78,118.02
60,367.89710000000014,34096,525083,72,265.67,292.15000000000003,222.31,237.02
61,1660.7282499999992,34111,383443,72,235.21,283.32,123.92,164.01
62,24382.6573,34164,240940,72,105.37,291.32,2.58,141.01000000000002
63,19162.035249999997,34569,435003,72,171.68,335.44,109.17,261.48
64,23216.832,35170,149222,72,280.34,421.68999999999994,1.78,197.62
65,198.93215000000026,36197,17899,16,204.72,219.26,584.58,624.02
66,74.00769999999972,36828,70774,16,438.41,456.52000000000004,63.47,74.31
67,8599.800000000003,38591,508602,16,149.85,296.88,80.88,257.5
68,11792.44755,38752,123585,16,212.41,308.97,200.69,391.03
69,9683.243149999998,43489,123585,16,0.0,175.42,45.36,150.88
70,13048.958299999998,43705,123585,16,333.21,480.0,432.16,587.29
71,39045.91345,46374,157807,17,103.34,478.66999999999996,155.99,377.29
72,37144.54945000001,46514,109055,17,128.0,469.68,91.56,445.62
73,6015.003250000001,46653,23272,17,186.29,312.1,73.39,145.97
74,111525.45985000006,46758,134096,17,214.71,640.0,106.01,473.49
75,54217.659799999994,46767,501523,17,208.52,497.54999999999995,112.52,398.45
76,154178.05024999994,46947,125850,17,110.32,579.16,19.09,444.45
77,107839.31495,46955,284623,17,36.62,464.53000000000003,0.0,412.58
78,43442.5372,47049,245764,17,194.21,494.96000000000004,176.51,480.0
79,7006.397749999999,47170,466156,17,185.65,353.57,85.6,202.88
80,81931.51880000002,47325,402473,17,231.91,640.0,85.21,474.60999999999996
81,16892.101950000004,47902,10363,17,245.51,471.64,108.3,243.98000000000002
82,9770.9933,47906,172330,17,244.04,421.97,219.25,334.22
83,19567.4298,47942,211042,17,160.88,286.74,185.82,542.44
84,140577.30465,48979,361621,17,46.06,595.8800000000001,1.92,424.12
85,42001.187600000005,49229,554291,17,211.7,493.34999999999997,78.24,416.95
